epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,643.435,2.81256,3.67913,2.71149,0.46713,0.22558,0.21761,0.07699,3.31924,4.92334,2.36875,0.0010892,0.0010892,0.0010892
48,656.729,2.99325,3.35991,2.79707,0.45421,0.25714,0.28926,0.10319,3.24387,5.25356,2.27065,0.0010694,0.0010694,0.0010694
49,669.737,2.40834,2.91575,2.53686,0.45421,0.25714,0.28926,0.10319,3.24387,5.25356,2.27065,0.0010496,0.0010496,0.0010496
50,682.96,2.63982,3.80273,2.34439,0.32584,0.2,0.23996,0.09693,3.35115,5.35131,2.24682,0.0010298,0.0010298,0.0010298
51,696.062,2.51047,3.40671,2.79323,0.33778,0.2,0.1478,0.05419,3.92819,7.1287,2.42457,0.00101,0.00101,0.00101
52,709.159,3.52612,5.13213,2.85875,0.00085,0.2,0.01134,0.00278,3.74959,10.8024,2.50728,0.0009902,0.0009902,0.0009902
53,722.354,2.75044,3.06417,2.71574,0.00085,0.2,0.01134,0.00278,3.74959,10.8024,2.50728,0.0009704,0.0009704,0.0009704
54,735.857,3.1249,3.27163,2.66944,0.00079,0.17143,0.00662,0.0011,4.10583,11.0114,2.68546,0.0009506,0.0009506,0.0009506
55,749.263,2.9384,3.10226,2.59063,0.00059,0.14286,0.00144,0.00038,3.58272,12.631,2.55911,0.0009308,0.0009308,0.0009308
56,762.544,2.87777,4.7285,2.69002,0.00125,0.34286,0.02067,0.00451,4.29083,14.065,2.81229,0.000911,0.000911,0.000911
57,775.939,3.33679,3.02118,2.99971,0.00125,0.34286,0.02067,0.00451,4.29083,14.065,2.81229,0.0008912,0.0008912,0.0008912
58,789.354,2.64584,2.54829,2.34958,0.24453,0.08571,0.11482,0.03611,3.26019,8.02658,2.38435,0.0008714,0.0008714,0.0008714
59,802.938,2.76634,3.52013,2.89221,0.27523,0.28571,0.24765,0.09078,2.99095,4.88757,2.15134,0.0008516,0.0008516,0.0008516
60,816.363,2.63204,2.62997,2.41994,0.20874,0.28571,0.21009,0.0917,2.94866,4.84433,2.12451,0.0008318,0.0008318,0.0008318
61,829.628,2.51125,2.77701,2.27574,0.20874,0.28571,0.21009,0.0917,2.94866,4.84433,2.12451,0.000812,0.000812,0.000812
62,842.863,3.07531,3.27669,2.95415,0.38049,0.28571,0.31035,0.12691,3.05924,4.52118,2.14356,0.0007922,0.0007922,0.0007922
63,856.057,3.36531,2.99367,3.09892,0.36292,0.30938,0.27571,0.11356,3.20166,4.32807,2.17755,0.0007724,0.0007724,0.0007724
64,869.158,3.01096,2.97258,2.66957,0.40595,0.31429,0.30855,0.13824,3.24125,4.32518,2.17804,0.0007526,0.0007526,0.0007526
65,882.527,2.55103,2.47325,2.33182,0.40595,0.31429,0.30855,0.13824,3.24125,4.32518,2.17804,0.0007328,0.0007328,0.0007328
66,895.759,2.55106,2.61016,2.41013,0.44717,0.28571,0.32242,0.15255,3.17458,4.37761,2.13017,0.000713,0.000713,0.000713
67,908.84,2.56788,2.72483,2.54615,0.70995,0.25714,0.32454,0.13438,3.13374,4.41318,2.08136,0.0006932,0.0006932,0.0006932
68,921.863,2.83761,2.69471,2.47925,0.52719,0.34286,0.34824,0.11408,3.10186,4.50102,2.0321,0.0006734,0.0006734,0.0006734
69,934.851,2.4755,2.88923,2.39984,0.52719,0.34286,0.34824,0.11408,3.10186,4.50102,2.0321,0.0006536,0.0006536,0.0006536
70,948.124,3.072,3.05805,2.51363,0.39031,0.28571,0.29631,0.09997,3.10663,4.5627,2.00622,0.0006338,0.0006338,0.0006338
71,961.156,2.70339,2.4664,2.52002,0.73633,0.2,0.29183,0.10992,3.02638,4.5909,1.97069,0.000614,0.000614,0.000614
72,974.326,2.94171,3.72974,2.14606,0.45568,0.34286,0.31882,0.10449,2.96082,4.69397,1.95583,0.0005942,0.0005942,0.0005942
73,987.348,2.66529,2.77566,2.19604,0.45568,0.34286,0.31882,0.10449,2.96082,4.69397,1.95583,0.0005744,0.0005744,0.0005744
74,1000.56,2.74282,2.76316,2.32837,0.43104,0.28571,0.34699,0.10062,2.91434,4.72618,1.95857,0.0005546,0.0005546,0.0005546
75,1013.76,2.79129,2.63544,2.54843,0.55909,0.29003,0.39522,0.13509,2.85526,4.48898,1.93672,0.0005348,0.0005348,0.0005348
76,1026.94,2.40274,3.26494,2.17786,0.89902,0.34286,0.45924,0.18314,2.77561,4.06745,1.90243,0.000515,0.000515,0.000515
77,1040.24,2.654,2.58407,2.30495,0.89902,0.34286,0.45924,0.18314,2.77561,4.06745,1.90243,0.0004952,0.0004952,0.0004952
78,1053.37,2.70071,2.34976,2.06257,0.67589,0.37143,0.46537,0.19163,2.7625,3.87477,1.90519,0.0004754,0.0004754,0.0004754
79,1067.12,2.51067,2.49484,2.29342,0.61337,0.40819,0.44476,0.18256,2.77477,3.80408,1.91065,0.0004556,0.0004556,0.0004556
80,1080.34,2.70355,2.54964,2.23975,0.54995,0.34286,0.43882,0.17774,2.76937,3.78005,1.91857,0.0004358,0.0004358,0.0004358
81,1093.46,2.66563,2.40549,2.41011,0.54995,0.34286,0.43882,0.17774,2.76937,3.78005,1.91857,0.000416,0.000416,0.000416
82,1106.76,2.38104,2.07863,2.16503,0.46642,0.37143,0.35097,0.1369,2.79023,3.80862,1.92935,0.0003962,0.0003962,0.0003962
83,1119.84,2.7241,2.56715,2.29341,0.39914,0.4,0.3008,0.11324,2.79949,3.80797,1.9433,0.0003764,0.0003764,0.0003764
84,1133.05,2.34542,2.27387,2.07925,0.39643,0.42857,0.3123,0.10698,2.79671,3.70969,1.93552,0.0003566,0.0003566,0.0003566
85,1145.95,2.66667,2.28707,2.30137,0.39643,0.42857,0.3123,0.10698,2.79671,3.70969,1.93552,0.0003368,0.0003368,0.0003368
86,1158.94,2.78589,2.26525,2.41331,0.44184,0.42857,0.36357,0.12703,2.78461,3.55854,1.91444,0.000317,0.000317,0.000317
87,1172.12,2.47164,2.12749,2.36455,0.50961,0.4,0.40901,0.14645,2.77851,3.42056,1.89878,0.0002972,0.0002972,0.0002972
88,1185.24,2.3644,2.21284,2.11507,0.42808,0.45714,0.47211,0.1765,2.76622,3.30641,1.88237,0.0002774,0.0002774,0.0002774
89,1198.36,2.58106,2.30704,2.31261,0.42808,0.45714,0.47211,0.1765,2.76622,3.30641,1.88237,0.0002576,0.0002576,0.0002576
90,1211.95,2.6923,2.50023,2.48366,0.52947,0.45028,0.49967,0.16338,2.76468,3.24741,1.88014,0.0002378,0.0002378,0.0002378
91,1225.14,2.21855,2.49623,2.15499,0.50853,0.48571,0.46767,0.15118,2.7672,3.20416,1.88715,0.000218,0.000218,0.000218
92,1238.26,2.41288,2.78559,2.23431,0.52163,0.48571,0.45691,0.15299,2.75847,3.16698,1.89363,0.0001982,0.0001982,0.0001982
93,1251.33,2.42296,2.37617,2.21502,0.52163,0.48571,0.45691,0.15299,2.75847,3.16698,1.89363,0.0001784,0.0001784,0.0001784
94,1264.44,2.06555,2.38938,2.04908,0.52358,0.48571,0.45174,0.15998,2.73664,3.12474,1.89566,0.0001586,0.0001586,0.0001586
95,1277.63,2.46386,2.52167,2.17814,0.62345,0.45714,0.47854,0.1638,2.69673,3.08142,1.88569,0.0001388,0.0001388,0.0001388
96,1290.96,2.33731,2.38867,2.25864,0.70598,0.42857,0.50561,0.19858,2.67158,3.04931,1.8869,0.000119,0.000119,0.000119
97,1304.16,2.3939,2.49023,2.07071,0.70598,0.42857,0.50561,0.19858,2.67158,3.04931,1.8869,9.92e-05,9.92e-05,9.92e-05
98,1317.53,2.32931,2.7452,2.39429,0.67392,0.4,0.51664,0.21369,2.66684,3.04166,1.88067,7.94e-05,7.94e-05,7.94e-05
99,1331.03,2.13259,2.29282,2.10258,0.64538,0.4,0.52615,0.23429,2.66747,3.04166,1.87069,5.96e-05,5.96e-05,5.96e-05
100,1344.53,2.45529,2.3831,2.31922,0.87216,0.39027,0.50624,0.24514,2.66655,3.03316,1.86395,3.98e-05,3.98e-05,3.98e-05
